Name,Exp_Mass,Exp_Intensity
,367.24548,55473
,407.156382,14253
,431.21658,38029
,536.198991,31430
,565.345963,197130
,581.277794,35023
,582.805704,16056
,584.294293,81054
,584.315401,14385
,600.335503,35488
,616.177091,127706
,617.325617,15665
,633.3474,6075
,638.309058,4815
,638.435212,19425
,640.372483,102210
,646.151361,15634
,647.387889,26158
,649.283164,32146
,649.819886,18908
,654.357269,17793
,654.812023,16778
,655.331469,91740
,656.883159,37198
,663.817328,26904
,664.31891,18859
,664.414598,19506
,669.347139,39159
,672.357345,11275
,675.867898,58712
,675.89105,48582
,683.26759,52634
,684.383289,24725
,685.352071,10870
,690.309782,25110
,705.399608,6267
,710.3514,9807
,712.407189,9118
,714.914554,40980
,715.416323,33302
,718.30484,19811
,723.488073,12685
,724.416697,14303
,725.40222,109354
,727.378003,13709
,728.393148,10714
,728.430676,29025
,731.368772,7946
,732.433177,104536
,735.372006,14774
,736.315486,11626
,740.836375,39743
,742.373522,105640
,742.412403,4795
,746.38779,6705
,749.84167,281703
,751.519557,13990
,754.421188,17002
,758.420238,21290
,767.441704,39486
,768.415914,95187
,772.421296,39934
,776.430978,77406
,777.368724,9856
,778.433976,39154
,779.094632,85877
,793.457517,174694
,795.378724,5989
,795.436851,13311
,796.352185,22301
,797.378576,25991
,799.410573,47674
,801.499028,16045
,802.424612,5352
,802.962446,9681
,805.432346,12802
,806.383975,124778
,807.95429,14043
,808.456278,10502
,809.394801,32188
,810.483984,9510
,811.104125,11477
,812.45604,9455
,815.789133,12472
,816.124431,14485
,816.416095,47388
,816.459693,18568
,818.453561,8053
,819.352886,13421
,822.556748,17198
,828.434463,9690
,828.963362,12624
,829.47868,83565
,830.336452,57395
,830.437512,18281
,831.373785,70610
,832.448691,6471
,833.431159,16582
,834.931274,7899
,835.446918,6250
,835.446918,8016
,838.434278,8496
,840.8949,37021
,842.481887,17207
,844.96626,17938
,845.127675,60830
,845.462819,70968
,845.470411,163968
,845.966644,12455
,845.966644,10579
,845.966644,14654
,847.410757,14764
,849.900224,36695
,853.47956,73677
,853.980324,43882
,855.436912,30078
,857.433585,13532
,858.467385,5997
,861.477505,6879
,866.481325,13231
,866.510538,14495
,867.50579,35446
,868.288107,11846
,868.45622,18752
,868.810752,28004
,869.145215,22876
,869.479636,22572
,870.380308,17957
,870.484143,9273
,876.239866,10150
,876.550745,10209
,878.384671,4064
,878.416607,18506
,882.009744,4403
,882.413629,22778
,883.489625,19031
,883.639487,19836
,885.718288,8422
,887.91588,29000
,889.421095,3906
,891.419093,72123
,892.924373,9756
,893.467032,17165
,893.479103,35280
,893.844163,9180
,894.028983,6317
,896.024815,21671
,896.471159,5695
,903.148791,4986
,904.52643,50649
,909.473697,20028
,909.518764,41809
,910.442857,16741
,912.494531,15776
,918.03188,71536
